Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
80,Calebe,brBRA,MF,Fortaleza,25-046,2000,6,2,218,2.4,1,0,1,1,0,0,2,0,0.3,0.3,0.4,0.7,4,5,18,0.41,0,0.41,0.41,0.41,0.14,0.16,0.3,0.14,0.3,Matches
81,Jonathan Calleri,arARG,FW,São Paulo,31-265,1993,3,2,121,1.3,0,0,0,0,0,1,0,1,0.9,0.1,0.1,0.2,1,2,3,0,0,0,0,0,0.68,0.07,0.75,0.1,0.16,Matches
82,Camilo,brBRA,MF,Grêmio,26-112,1999,8,5,396,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,8,3,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
83,Germán Cano,arARG,FW,Fluminense,37-133,1988,6,6,474,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,0,9,22,0.19,0,0.19,0.19,0.19,0.24,0.02,0.26,0.24,0.26,Matches
84,Agustín Canobbio,uyURU,FW,Fluminense,26-257,1998,8,8,513,5.7,1,1,2,1,0,0,1,0,1.1,1.1,1,2,13,11,41,0.18,0.18,0.35,0.18,0.35,0.18,0.17,0.36,0.18,0.36,Matches
85,Juninho Capixaba,brBRA,DF,RB Bragantino,27-344,1997,11,11,990,11,1,0,1,1,0,0,1,0,1.5,1.5,1.2,2.7,18,71,49,0.09,0,0.09,0.09,0.09,0.14,0.11,0.24,0.14,0.24,Matches
86,Johan Carbonero,coCOL,FW,Internacional,25-330,1999,3,2,153,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,8,11,19,0,0,0,0,0,0.17,0.02,0.18,0.17,0.18,Matches
87,Edson Carioca,brBRA,FW,Mirassol,27-346,1997,10,7,560,6.2,2,2,4,2,0,0,1,0,2.4,2.4,0.9,3.3,20,17,33,0.32,0.32,0.64,0.32,0.64,0.39,0.14,0.53,0.39,0.53,Matches
88,Igor Cariús,brBRA,DF,Sport Recife,32-045,1993,8,8,648,7.2,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,18,37,28,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches
89,Carlinhos,brBRA,FW,Vitória,28-123,1997,3,1,135,1.5,1,0,1,1,0,0,2,0,1.3,1.3,0,1.3,0,3,3,0.67,0,0.67,0.67,0.67,0.86,0,0.86,0.86,0.86,Matches
90,Antonio Carlos,brBRA,DF,Sport Recife,32-100,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Jean Carlos Vicente,brBRA,"MF,FW",Juventude,33-120,1992,7,2,203,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,2,6,12,0,0,0,0,0,0.08,0.28,0.36,0.08,0.36,Matches
92,André Carrillo,pePER,MF,Corinthians,34-001,1991,9,8,611,6.8,0,0,0,0,0,0,0,0,0.1,0.1,1.4,1.5,16,42,48,0,0,0,0,0,0.02,0.2,0.22,0.02,0.22,Matches
93,Gabriel Carvalho,brBRA,FW,Internacional,17-302,2007,3,0,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,6,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
94,Cássio,brBRA,GK,Cruzeiro,38-009,1987,12,12,"1,080",12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Iury de Castilho,brBRA,FW,Mirassol,29-282,1995,9,6,499,5.5,1,0,1,1,0,0,2,0,1.5,1.5,0.2,1.7,10,14,26,0.18,0,0.18,0.18,0.18,0.27,0.03,0.3,0.27,0.3,Matches
96,Murilo Cerqueira,brBRA,DF,Palmeiras,28-080,1997,4,4,335,3.7,1,0,1,1,0,0,3,0,0.1,0.1,0,0.1,0,9,0,0.27,0,0.27,0.27,0.27,0.02,0,0.02,0.02,0.02,Matches
97,Kayky Chagas,brBRA,"FW,MF",Bahia,22-004,2003,7,1,187,2.1,1,0,1,1,0,0,1,0,0.6,0.6,0.3,0.9,11,10,20,0.48,0,0.48,0.48,0.48,0.27,0.16,0.43,0.27,0.43,Matches
98,Chico,brBRA,MF,Mirassol,34-029,1991,3,1,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03,Matches
99,Chico,brBRA,DF,Sport Recife,26-274,1998,11,11,945,10.5,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,15,38,5,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
100,Christian,brBRA,FW,Cruzeiro,24-178,2000,9,9,691,7.7,1,1,2,1,0,0,3,0,1.1,1.1,1.4,2.5,5,20,53,0.13,0.13,0.26,0.13,0.26,0.14,0.19,0.33,0.14,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Claudinho,brBRA,DF,Vitória,24-264,2000,10,9,785,8.7,0,0,0,0,0,0,4,0,0.5,0.5,1.1,1.6,27,42,39,0,0,0,0,0,0.05,0.13,0.18,0.05,0.18,Matches
