Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
529,Adrien Truffert,frFRA,"DF,MF",Rennes,22,2001,33,31,"2,752",30.6,2,2,4,2,0,0,3,0,2.4,2.3,3.2,5.5,69,104,243,0.07,0.07,0.13,0.07,0.13,0.08,0.11,0.18,0.08,0.18,Matches
530,Vanderson,brBRA,DF,Monaco,23,2001,29,23,"2,064",22.9,1,3,4,1,0,0,6,1,2.2,2.2,3.1,5.3,57,102,151,0.04,0.13,0.17,0.04,0.17,0.1,0.14,0.23,0.1,0.23,Matches
531,Robinio Vaz,frFRA,FW,Marseille,17,2007,2,0,75,0.8,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,3,0,6,0,0,0,0,0,0.61,0,0.61,0.61,0.61,Matches
532,Jordan Veretout,frFRA,MF,Lyon,31,1993,27,19,"1,553",17.3,2,0,2,2,0,0,3,0,1.9,1.9,0.6,2.5,35,99,60,0.12,0,0.12,0.12,0.12,0.11,0.04,0.14,0.11,0.14,Matches
533,Ben Viadere,frFRA,MF,Auxerre,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.85,0.85,0,0.85,Matches
534,Vitinha,ptPOR,MF,Paris S-G,24,2000,29,20,"2,042",22.7,5,1,6,3,2,2,1,0,3.4,1.8,2.6,4.4,53,224,57,0.22,0.04,0.26,0.13,0.18,0.15,0.11,0.27,0.08,0.2,Matches
535,Ibrahima Wadji,snSEN,"FW,MF",Saint-Étienne,29,1995,10,2,347,3.9,0,0,0,0,0,0,1,0,0.8,0.8,0,0.8,11,4,24,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
536,Elye Wahi,frFRA,FW,Marseille,21,2003,13,7,574,6.4,3,1,4,2,1,1,1,0,6,5.2,0.4,5.6,7,7,41,0.47,0.16,0.63,0.31,0.47,0.94,0.07,1,0.81,0.88,Matches
537,Caleb Wiley,usUSA,"DF,MF",Strasbourg,19,2004,6,3,266,3,0,1,1,0,0,0,1,0,0,0,0.7,0.7,3,7,9,0,0.34,0.34,0,0.34,0.01,0.23,0.24,0.01,0.24,Matches
538,Christopher Wooh,cmCMR,DF,Rennes,22,2001,20,17,"1,456",16.2,0,0,0,0,0,0,6,1,1.3,1.3,0.1,1.4,14,59,2,0,0,0,0,0,0.08,0,0.09,0.08,0.09,Matches
